Date&Time,Cloudfactor,Windspeed,powerConsumption_CustomConsumer@18/5_Bus0,powerConsumption_CustomConsumer@18/6_Bus0,powerConsumption_CustomConsumer@18/9_Bus0,powerConsumption_CustomConsumer@14/10_Bus0,powerConsumption_CustomConsumer@18/11_Bus0,powerConsumption_CustomConsumer@13/11_Bus0,powerConsumption_CustomConsumer@13/12_Bus0,powerConsumption_CustomConsumer@19/13_Bus0,powerConsumption_CustomConsumer@14/14_Bus0,powerConsumption_CustomConsumer@17/16_Bus0,,powerProduction_SolarPowerPlant@18/3_Bus0,powerProduction_SolarPowerPlant@20/6_Bus0,powerProduction_SolarPowerPlant@20/9_Bus0,powerProduction_SolarPowerPlant@14/8_Bus0,powerProduction_SolarPowerPlant@20/11_Bus0,powerProduction_SolarPowerPlant@11/11_Bus0,powerProduction_SolarPowerPlant@21/13_Bus0,powerProduction_SolarPowerPlant@14/16_Bus0,powerProduction_SolarPowerPlant@11/13_Bus0,powerProduction_SolarPowerPlant@19/16_Bus0
2018.07.04   22.30,0.184,1.798,55590.80625,55590.80625,55590.80625,33354.48375,77827.12875,33354.48375,33354.48375,81533.1825,69179.67,93886.695,,4.00E-04,4.00E-04,4.00E-04,2.00E-04,5.00E-04,2.00E-04,5.00E-04,5.00E-04,2.00E-04,6.00E-04
2018.07.04   23.30,0,2.374,38995.425,38995.425,38995.425,23397.255,54593.595,23397.255,23397.255,57193.29,48527.64,65858.94,,0,0,0,0,0,0,0,0,0,0
2018.07.05   00.30,0.128,2.192,25993.40625,25993.40625,25993.40625,15596.04375,36390.76875,15596.04375,15596.04375,38123.6625,32347.35,43899.975,,0,0,0,0,0,0,0,0,0,0
2018.07.05   01.30,0,2.328,22070.475,22070.475,22070.475,13242.285,30898.665,13242.285,13242.285,32370.03,27465.48,37274.58,,0,0,0,0,0,0,0,0,0,0
2018.07.05   02.30,0,1.52,20401.36875,20401.36875,20401.36875,12240.82125,28561.91625,12240.82125,12240.82125,29922.0075,25388.37,34455.645,,0,0,0,0,0,0,0,0,0,0
2018.07.05   03.30,0.221,1.502,20008.0125,20008.0125,20008.0125,12004.8075,28011.2175,12004.8075,12004.8075,29345.085,24898.86,33791.31,,3.00E-04,3.00E-04,3.00E-04,2.00E-04,4.00E-04,2.00E-04,5.00E-04,4.00E-04,2.00E-04,5.00E-04
2018.07.05   04.30,0.256,2.063,22155.525,22155.525,22155.525,13293.315,31017.735,13293.315,13293.315,32494.77,27571.32,37418.22,,0.2383,0.2383,0.2383,0.143,0.3337,0.143,0.3496,0.2966,0.143,0.4025
2018.07.05   05.30,0.48,1.368,31883.11875,31883.11875,31883.11875,19129.87125,44636.36625,19129.87125,19129.87125,46761.9075,39676.77,53847.045,,3352.0137,3352.0137,3352.0137,2011.2082,4692.8192,2011.2082,4916.2868,4171.3948,2011.2082,5661.1787
2018.07.05   06.30,0.271,1.474,50232.65625,50232.65625,50232.65625,30139.59375,70325.71875,30139.59375,30139.59375,73674.5625,62511.75,84837.375,,140910.5805,140910.5805,140910.5805,84546.3483,197274.8127,84546.3483,206668.8514,175355.3891,84546.3483,237982.3138
2018.07.05   07.30,0.193,2.531,57972.20625,57972.20625,57972.20625,34783.32375,81161.08875,34783.32375,34783.32375,85025.9025,72143.19,97908.615,,245992.0813,245992.0813,245992.0813,147595.2488,344388.9138,147595.2488,360788.3859,306123.4789,147595.2488,415453.2928
2018.07.05   08.30,0.354,1.449,61469.8875,61469.8875,61469.8875,36881.9325,86057.8425,36881.9325,36881.9325,90155.835,76495.86,103815.81,,234575.1476,234575.1476,234575.1476,140745.0886,328405.2066,140745.0886,344043.5498,291915.7392,140745.0886,396171.3604
2018.07.05   09.30,0.149,1.192,60215.4,60215.4,60215.4,36129.24,84301.56,36129.24,36129.24,88315.92,74934.72,101697.12,,338193.4254,338193.4254,338193.4254,202916.0552,473470.7956,202916.0552,496017.0239,420862.9294,202916.0552,571171.1185
2018.07.05   10.30,0.276,0.895,59045.9625,59045.9625,59045.9625,35427.5775,82664.3475,35427.5775,35427.5775,86600.745,73479.42,99722.07,,302879.2306,302879.2306,302879.2306,181727.5384,424030.9228,181727.5384,444222.8715,376916.3759,181727.5384,511529.3672
2018.07.05   11.30,0.076,1.87,63500.45625,63500.45625,63500.45625,38100.27375,88900.63875,38100.27375,38100.27375,93134.0025,79022.79,107245.215,,397845.0545,397845.0545,397845.0545,238707.0327,556983.0763,238707.0327,583506.0799,495096.0678,238707.0327,671916.092
2018.07.05   12.30,0.261,1.081,67997.475,67997.475,67997.475,40798.485,95196.465,40798.485,40798.485,99729.63,84619.08,114840.18,,322398.2369,322398.2369,322398.2369,193438.9422,451357.5317,193438.9422,472850.7475,401206.6949,193438.9422,544494.8002
2018.07.05   13.30,0.284,2.297,60194.1375,60194.1375,60194.1375,36116.4825,84271.7925,36116.4825,36116.4825,88284.735,74908.26,101661.21,,312403.7066,312403.7066,312403.7066,187442.224,437365.1892,187442.224,458192.103,388769.0571,187442.224,527615.1489
2018.07.05   14.30,0.088,1.518,52847.94375,52847.94375,52847.94375,31708.76625,73987.12125,31708.76625,31708.76625,77510.3175,65766.33,89254.305,,392836.1524,392836.1524,392836.1524,235701.6915,549970.6134,235701.6915,576159.6902,488862.7675,235701.6915,663456.613
2018.07.05   15.30,0,0.478,49105.74375,49105.74375,49105.74375,29463.44625,68748.04125,29463.44625,29463.44625,72021.7575,61109.37,82934.145,,418658.3289,418658.3289,418658.3289,251194.9973,586121.6604,251194.9973,614032.2157,520997.0315,251194.9973,707067.3999
2018.07.05   16.30,0.217,2.87,49775.5125,49775.5125,49775.5125,29865.3075,69685.7175,29865.3075,29865.3075,73004.085,61942.86,84065.31,,311573.6577,311573.6577,311573.6577,186944.1946,436203.1208,186944.1946,456974.698,387736.1074,186944.1946,526213.2886
2018.07.05   17.30,0.154,1.32,55729.0125,55729.0125,55729.0125,33437.4075,78020.6175,33437.4075,33437.4075,81735.885,69351.66,94120.11,,307902.5115,307902.5115,307902.5115,184741.5069,431063.516,184741.5069,451590.3501,383167.5698,184741.5069,520013.1305
2018.07.05   18.30,0.15,2.295,65733.01875,65733.01875,65733.01875,39439.81125,92026.22625,39439.81125,39439.81125,96408.4275,81801.09,111015.765,,260309.3375,260309.3375,260309.3375,156185.6025,364433.0725,156185.6025,381787.0283,323940.5089,156185.6025,439633.5477
2018.07.05   19.30,0.122,1.994,72037.35,72037.35,72037.35,43222.41,100852.29,43222.41,43222.41,105654.78,89646.48,121663.08,,172170.8587,172170.8587,172170.8587,103302.5152,241039.2021,103302.5152,252517.2594,214257.0686,103302.5152,290777.4502
2018.07.05   20.30,0.174,2.26,68688.50625,68688.50625,68688.50625,41213.10375,96163.90875,41213.10375,41213.10375,100743.1425,85479.03,116007.255,,6225.2263,6225.2263,6225.2263,3735.1358,8715.3169,3735.1358,9130.332,7746.9483,3735.1358,10513.7156
2018.07.05   21.30,0,1.909,64999.4625,64999.4625,64999.4625,38999.6775,90999.2475,38999.6775,38999.6775,95332.545,80888.22,109776.87,,0.3607,0.3607,0.3607,0.2164,0.505,0.2164,0.529,0.4489,0.2164,0.6092
2018.07.05   22.30,0,1.535,55590.80625,55590.80625,55590.80625,33354.48375,77827.12875,33354.48375,33354.48375,81533.1825,69179.67,93886.695,,4.00E-04,4.00E-04,4.00E-04,3.00E-04,6.00E-04,3.00E-04,6.00E-04,5.00E-04,3.00E-04,7.00E-04
2018.07.05   23.30,0.274,0.921,38995.425,38995.425,38995.425,23397.255,54593.595,23397.255,23397.255,57193.29,48527.64,65858.94,,0,0,0,0,0,0,0,0,0,0
2018.07.06   00.30,0.343,0.706,25993.40625,25993.40625,25993.40625,15596.04375,36390.76875,15596.04375,15596.04375,38123.6625,32347.35,43899.975,,0,0,0,0,0,0,0,0,0,0
2018.07.06   01.30,0.433,3.141,22070.475,22070.475,22070.475,13242.285,30898.665,13242.285,13242.285,32370.03,27465.48,37274.58,,0,0,0,0,0,0,0,0,0,0
2018.07.06   02.30,0.364,1.302,20401.36875,20401.36875,20401.36875,12240.82125,28561.91625,12240.82125,12240.82125,29922.0075,25388.37,34455.645,,0,0,0,0,0,0,0,0,0,0
2018.07.06   03.30,0.477,1.695,20008.0125,20008.0125,20008.0125,12004.8075,28011.2175,12004.8075,12004.8075,29345.085,24898.86,33791.31,,2.00E-04,2.00E-04,2.00E-04,1.00E-04,3.00E-04,1.00E-04,3.00E-04,2.00E-04,1.00E-04,3.00E-04
2018.07.06   04.30,0.52,0.933,22155.525,22155.525,22155.525,13293.315,31017.735,13293.315,13293.315,32494.77,27571.32,37418.22,,0.1391,0.1391,0.1391,0.0834,0.1947,0.0834,0.204,0.1731,0.0834,0.2349
2018.07.06   05.30,0.503,1.279,31883.11875,31883.11875,31883.11875,19129.87125,44636.36625,19129.87125,19129.87125,46761.9075,39676.77,53847.045,,2899.0056,2899.0056,2899.0056,1739.4033,4058.6078,1739.4033,4251.8748,3607.6514,1739.4033,4896.0983
2018.07.06   06.30,0.304,1.782,50232.65625,50232.65625,50232.65625,30139.59375,70325.71875,30139.59375,30139.59375,73674.5625,62511.75,84837.375,,133518.7879,133518.7879,133518.7879,80111.2727,186926.303,80111.2727,195827.5556,166156.7138,80111.2727,225498.3973
2018.07.06   07.30,0.329,1.832,57972.20625,57972.20625,57972.20625,34783.32375,81161.08875,34783.32375,34783.32375,85025.9025,72143.19,97908.615,,204100.7748,204100.7748,204100.7748,122460.4649,285741.0848,122460.4649,299347.8031,253992.0754,122460.4649,344703.5309
2018.07.06   08.30,0.574,2.151,61469.8875,61469.8875,61469.8875,36881.9325,86057.8425,36881.9325,36881.9325,90155.835,76495.86,103815.81,,154538.8742,154538.8742,154538.8742,92723.3245,216354.4239,92723.3245,226657.0155,192315.0435,92723.3245,260998.9876
2018.07.06   09.30,0.613,2.689,60215.4,60215.4,60215.4,36129.24,84301.56,36129.24,36129.24,88315.92,74934.72,101697.12,,153713.0072,153713.0072,153713.0072,92227.8043,215198.2101,92227.8043,225445.7439,191287.2979,92227.8043,259604.19
2018.07.06   10.30,0.795,2.206,59045.9625,59045.9625,59045.9625,35427.5775,82664.3475,35427.5775,35427.5775,86600.745,73479.42,99722.07,,85730.6409,85730.6409,85730.6409,51438.3846,120022.8973,51438.3846,125738.2734,106687.0198,51438.3846,144789.5269
2018.07.06   11.30,0.72,2.08,63500.45625,63500.45625,63500.45625,38100.27375,88900.63875,38100.27375,38100.27375,93134.0025,79022.79,107245.215,,120530.8681,120530.8681,120530.8681,72318.5209,168743.2154,72318.5209,176778.6066,149993.9692,72318.5209,203563.244
2018.07.06   12.30,0.945,2.035,67997.475,67997.475,67997.475,40798.485,95196.465,40798.485,40798.485,99729.63,84619.08,114840.18,,23990.3295,23990.3295,23990.3295,14394.1977,33586.4612,14394.1977,35185.8165,29854.6322,14394.1977,40517.0008
2018.07.06   13.30,0.808,1.926,60194.1375,60194.1375,60194.1375,36116.4825,84271.7925,36116.4825,36116.4825,88284.735,74908.26,101661.21,,83761.5977,83761.5977,83761.5977,50256.9586,117266.2367,50256.9586,122850.3432,104236.6549,50256.9586,141464.0316
2018.07.06   14.30,0.684,2.152,52847.94375,52847.94375,52847.94375,31708.76625,73987.12125,31708.76625,31708.76625,77510.3175,65766.33,89254.305,,136097.6588,136097.6588,136097.6588,81658.5953,190536.7224,81658.5953,199609.8996,169365.9754,81658.5953,229853.8238
2018.07.06   15.30,0.906,1.751,49105.74375,49105.74375,49105.74375,29463.44625,68748.04125,29463.44625,29463.44625,72021.7575,61109.37,82934.145,,39348.7819,39348.7819,39348.7819,23609.2692,55088.2947,23609.2692,57711.5468,48967.3731,23609.2692,66455.7206
2018.07.06   16.30,0.843,1.768,49775.5125,49775.5125,49775.5125,29865.3075,69685.7175,29865.3075,29865.3075,73004.085,61942.86,84065.31,,62463.0359,62463.0359,62463.0359,37477.8215,87448.2503,37477.8215,91612.4527,77731.778,37477.8215,105493.1273
2018.07.06   17.30,0.83,1.312,55729.0125,55729.0125,55729.0125,33437.4075,78020.6175,33437.4075,33437.4075,81735.885,69351.66,94120.11,,61852.7587,61852.7587,61852.7587,37111.6552,86593.8622,37111.6552,90717.3794,76972.3219,37111.6552,104462.4369
2018.07.06   18.30,0.732,1.435,65733.01875,65733.01875,65733.01875,39439.81125,92026.22625,39439.81125,39439.81125,96408.4275,81801.09,111015.765,,82013.8665,82013.8665,82013.8665,49208.3199,114819.4131,49208.3199,120287.0042,102061.7005,49208.3199,138512.3079
2018.07.06   19.30,0.784,1.898,72037.35,72037.35,72037.35,43222.41,100852.29,43222.41,43222.41,105654.78,89646.48,121663.08,,42230.6053,42230.6053,42230.6053,25338.3632,59122.8475,25338.3632,61938.2212,52553.6422,25338.3632,71322.8001
2018.07.06   20.30,0.584,1.49,68688.50625,68688.50625,68688.50625,41213.10375,96163.90875,41213.10375,41213.10375,100743.1425,85479.03,116007.255,,2991.929,2991.929,2991.929,1795.1574,4188.7006,1795.1574,4388.1625,3723.2894,1795.1574,5053.0357
2018.07.06   21.30,0.476,1.451,64999.4625,64999.4625,64999.4625,38999.6775,90999.2475,38999.6775,38999.6775,95332.545,80888.22,109776.87,,0.1783,0.1783,0.1783,0.107,0.2496,0.107,0.2615,0.2219,0.107,0.3011
2018.07.06   22.30,0.632,3.377,55590.80625,55590.80625,55590.80625,33354.48375,77827.12875,33354.48375,33354.48375,81533.1825,69179.67,93886.695,,1.00E-04,1.00E-04,1.00E-04,1.00E-04,2.00E-04,1.00E-04,2.00E-04,2.00E-04,1.00E-04,3.00E-04
2018.07.06   23.30,0.73,1.77,38995.425,38995.425,38995.425,23397.255,54593.595,23397.255,23397.255,57193.29,48527.64,65858.94,,0,0,0,0,0,0,0,0,0,0
2018.07.07   00.30,0.851,1.705,31425.975,31425.975,31425.975,18855.585,43996.365,18855.585,18855.585,46091.43,39107.88,53074.98,,0,0,0,0,0,0,0,0,0,0
2018.07.07   01.30,0.861,0.482,24037.25625,24037.25625,24037.25625,14422.35375,33652.15875,14422.35375,14422.35375,35254.6425,29913.03,40596.255,,0,0,0,0,0,0,0,0,0,0
2018.07.07   02.30,0.725,0.669,21528.28125,21528.28125,21528.28125,12916.96875,30139.59375,12916.96875,12916.96875,31574.8125,26790.75,36358.875,,0,0,0,0,0,0,0,0,0,0
2018.07.07   03.30,0.525,1.568,21294.39375,21294.39375,21294.39375,12776.63625,29812.15125,12776.63625,12776.63625,31231.7775,26499.69,35963.865,,2.00E-04,2.00E-04,2.00E-04,1.00E-04,2.00E-04,1.00E-04,2.00E-04,2.00E-04,1.00E-04,3.00E-04
2018.07.07   04.30,0.636,1.491,21602.7,21602.7,21602.7,12961.62,30243.78,12961.62,12961.62,31683.96,26883.36,36484.56,,0.095,0.095,0.095,0.057,0.133,0.057,0.1393,0.1182,0.057,0.1604
2018.07.07   05.30,0.796,1.936,23548.21875,23548.21875,23548.21875,14128.93125,32967.50625,14128.93125,14128.93125,34537.3875,29304.45,39770.325,,1070.7185,1070.7185,1070.7185,642.4311,1499.0059,642.4311,1570.3871,1332.4497,642.4311,1808.3246
2018.07.07   06.30,0.764,2.197,32606.04375,32606.04375,32606.04375,19563.62625,45648.46125,19563.62625,19563.62625,47822.1975,40576.41,55067.985,,44915.0553,44915.0553,44915.0553,26949.0332,62881.0775,26949.0332,65875.4145,55894.2911,26949.0332,75856.5379
2018.07.07   07.30,0.893,1.542,47192.11875,47192.11875,47192.11875,28315.27125,66068.96625,28315.27125,28315.27125,69215.1075,58727.97,79702.245,,32474.5155,32474.5155,32474.5155,19484.7093,45464.3217,19484.7093,47629.2894,40412.7304,19484.7093,54845.8484
2018.07.07   08.30,0.678,1.715,61161.58125,61161.58125,61161.58125,36696.94875,85626.21375,36696.94875,36696.94875,89703.6525,76112.19,103295.115,,116693.6352,116693.6352,116693.6352,70016.1811,163371.0893,70016.1811,171150.665,145218.746,70016.1811,197082.5839
2018.07.07   09.30,0.586,1.212,69103.125,69103.125,69103.125,41461.875,96744.375,41461.875,41461.875,101351.25,85995,116707.5,,164344.6205,164344.6205,164344.6205,98606.7723,230082.4687,98606.7723,241038.7767,204517.7499,98606.7723,277559.8035
2018.07.07   10.30,0.569,1.652,70921.06875,70921.06875,70921.06875,42552.64125,99289.49625,42552.64125,42552.64125,104017.5675,88257.33,119777.805,,180179.3158,180179.3158,180179.3158,108107.5895,252251.0421,108107.5895,264262.9965,224223.1486,108107.5895,304302.8445
2018.07.07   11.30,0.786,1.443,75364.93125,75364.93125,75364.93125,45218.95875,105510.9038,45218.95875,45218.95875,110535.2325,93787.47,127282.995,,92097.4315,92097.4315,92097.4315,55258.4589,128936.4041,55258.4589,135076.2328,114610.137,55258.4589,155542.3287
2018.07.07   12.30,0.872,2.297,77438.025,77438.025,77438.025,46462.815,108413.235,46462.815,46462.815,113575.77,96367.32,130784.22,,55821.8465,55821.8465,55821.8465,33493.1079,78150.5852,33493.1079,81872.0416,69467.1868,33493.1079,94276.8964
2018.07.07   13.30,0.763,1.808,70772.23125,70772.23125,70772.23125,42463.33875,99081.12375,42463.33875,42463.33875,103799.2725,88072.11,119526.435,,103377.8611,103377.8611,103377.8611,62026.7167,144729.0056,62026.7167,151620.863,128648.005,62026.7167,174593.721
2018.07.07   14.30,0.765,1.838,64244.64375,64244.64375,64244.64375,38546.78625,89942.50125,38546.78625,38546.78625,94225.4775,79948.89,108502.065,,101198.0275,101198.0275,101198.0275,60718.8165,141677.2385,60718.8165,148423.7736,125935.3231,60718.8165,170912.2242
2018.07.07   15.30,0.791,2.047,62352.28125,62352.28125,62352.28125,37411.36875,87293.19375,37411.36875,37411.36875,91450.0125,77593.95,105306.075,,87475.1426,87475.1426,87475.1426,52485.0856,122465.1997,52485.0856,128296.8758,108857.9553,52485.0856,147735.7964
2018.07.07   16.30,0.555,2.489,61650.61875,61650.61875,61650.61875,36990.37125,86310.86625,36990.37125,36990.37125,90420.9075,76720.77,104121.045,,177008.6263,177008.6263,177008.6263,106205.1758,247812.0769,106205.1758,259612.652,220277.4017,106205.1758,298947.9023
2018.07.07   17.30,0.747,1.481,66636.675,66636.675,66636.675,39982.005,93291.345,39982.005,39982.005,97733.79,82925.64,112541.94,,92018.2996,92018.2996,92018.2996,55210.9798,128825.6194,55210.9798,134960.1727,114511.6617,55210.9798,155408.6837
2018.07.07   18.30,0.92,1.644,74578.21875,74578.21875,74578.21875,44746.93125,104409.5063,44746.93125,44746.93125,109381.3875,92808.45,125954.325,,24460.8677,24460.8677,24460.8677,14676.5206,34245.2148,14676.5206,35875.9393,30440.1909,14676.5206,41311.6877
2018.07.07   19.30,0.677,1.344,76353.6375,76353.6375,76353.6375,45812.1825,106895.0925,45812.1825,45812.1825,111985.335,95017.86,128952.81,,62935.2997,62935.2997,62935.2997,37761.1798,88109.4196,37761.1798,92305.1062,78319.4841,37761.1798,106290.7284
2018.07.07   20.30,0.579,1.977,69294.4875,69294.4875,69294.4875,41576.6925,97012.2825,41576.6925,41576.6925,101631.915,86233.14,117030.69,,2871.9862,2871.9862,2871.9862,1723.1917,4020.7807,1723.1917,4212.2464,3574.0273,1723.1917,4850.4656
2018.07.07   21.30,0.391,3.086,63638.6625,63638.6625,63638.6625,38183.1975,89094.1275,38183.1975,38183.1975,93336.705,79194.78,107478.63,,0.1943,0.1943,0.1943,0.1166,0.2721,0.1166,0.285,0.2418,0.1166,0.3282
2018.07.07   22.30,0.248,1.803,60172.875,60172.875,60172.875,36103.725,84242.025,36103.725,36103.725,88253.55,74881.8,101625.3,,3.00E-04,3.00E-04,3.00E-04,2.00E-04,4.00E-04,2.00E-04,4.00E-04,4.00E-04,2.00E-04,5.00E-04
2018.07.07   23.30,0.307,2.42,42865.2,42865.2,42865.2,25719.12,60011.28,25719.12,25719.12,62868.96,53343.36,72394.56,,0,0,0,0,0,0,0,0,0,0
2018.07.08   00.30,0.169,1.418,32808.0375,32808.0375,32808.0375,19684.8225,45931.2525,19684.8225,19684.8225,48118.455,40827.78,55409.13,,0,0,0,0,0,0,0,0,0,0
2018.07.08   01.30,0.018,1.812,25068.4875,25068.4875,25068.4875,15041.0925,35095.8825,15041.0925,15041.0925,36767.115,31196.34,42337.89,,0,0,0,0,0,0,0,0,0,0
2018.07.08   02.30,0,1.683,22134.2625,22134.2625,22134.2625,13280.5575,30987.9675,13280.5575,13280.5575,32463.585,27544.86,37382.31,,0,0,0,0,0,0,0,0,0,0
2018.07.08   03.30,0.168,2.385,21262.5,21262.5,21262.5,12757.5,29767.5,12757.5,12757.5,31185,26460,35910,,3.00E-04,3.00E-04,3.00E-04,2.00E-04,4.00E-04,2.00E-04,4.00E-04,3.00E-04,2.00E-04,4.00E-04
2018.07.08   04.30,0.13,2.955,21092.4,21092.4,21092.4,12655.44,29529.36,12655.44,12655.44,30935.52,26248.32,35622.72,,0.2037,0.2037,0.2037,0.1222,0.2851,0.1222,0.2987,0.2535,0.1222,0.344
2018.07.08   05.30,0.051,1.464,20752.2,20752.2,20752.2,12451.32,29053.08,12451.32,12451.32,30436.56,25824.96,35048.16,,4456.7596,4456.7596,4456.7596,2674.0558,6239.4635,2674.0558,6536.5808,5546.1898,2674.0558,7526.9718
2018.07.08   06.30,0.084,2.088,24547.55625,24547.55625,24547.55625,14728.53375,34366.57875,14728.53375,14728.53375,36003.0825,30548.07,41458.095,,172881.1269,172881.1269,172881.1269,103728.6761,242033.5776,103728.6761,253558.9861,215140.9579,103728.6761,291977.0143
2018.07.08   07.30,0.261,0.884,37464.525,37464.525,37464.525,22478.715,52450.335,22478.715,22478.715,54947.97,46622.52,63273.42,,223770.2104,223770.2104,223770.2104,134262.1263,313278.2946,134262.1263,328196.3086,278469.5952,134262.1263,377923.0221
2018.07.08   08.30,0.106,0.99,58716.39375,58716.39375,58716.39375,35229.83625,82202.95125,35229.83625,35229.83625,86117.3775,73069.29,99165.465,,323650.698,323650.698,323650.698,194190.4188,453110.9771,194190.4188,474687.6903,402765.313,194190.4188,546610.0677
2018.07.08   09.30,0,1.321,74907.7875,74907.7875,74907.7875,44944.6725,104870.9025,44944.6725,44944.6725,109864.755,93218.58,126510.93,,396736.4953,396736.4953,396736.4953,238041.8972,555431.0934,238041.8972,581880.1931,493716.5275,238041.8972,670043.8587
2018.07.08   10.30,0.096,2.195,83327.7375,83327.7375,83327.7375,49996.6425,116658.8325,49996.6425,49996.6425,122214.015,103696.74,140731.29,,377777.1964,377777.1964,377777.1964,226666.3179,528888.075,226666.3179,554073.2215,470122.7334,226666.3179,638023.7096
2018.07.08   11.30,0,3.203,90089.2125,90089.2125,90089.2125,54053.5275,126124.8975,54053.5275,54053.5275,132130.845,112111.02,152150.67,,430251.5624,430251.5624,430251.5624,258150.9375,602352.1874,258150.9375,631035.6249,535424.1666,258150.9375,726647.0832
,,,8486661.094,8486661.094,8486661.094,5091996.656,11881325.53,5091996.656,5091996.656,12447102.94,10561178.25,14333027.63,,18582850.84,18582850.84,18582850.84,11149710.5,26015991.17,11149710.5,27254847.89,23125325.48,11149710.5,31384370.3
,,,,,,,,,,,,89958607.59,,,,,,,,,,,196978218.9
,,,,,,,,,,,,,,,,,,,,,,,107019611.3
