Date&Time,Cloudfactor,Windspeed,Gartland 1,Gartland 2,Fontaine,Foy 1,Foy 2,Foy 3,Dyson,Lowell Thomas,Hancock,Library,,Gartland 1,Gartland 2,Fontaine,Foy 1,Foy 2,Foy 3,Dyson,Lowell Thomas,Hancock,Library
2018.04.15   06.30,0.395,0.71,83412.7875,83412.7875,83412.7875,50047.6725,50047.6725,50047.6725,116777.9025,122338.755,103802.58,140874.93,,21189.8355,21189.8355,21189.8355,12713.9013,12713.9013,12713.9013,29665.7697,31078.4254,26369.573,35787.2777
2018.04.15   07.30,0.357,1.061,66509.1,66509.1,66509.1,39905.46,39905.46,39905.46,93112.74,97546.68,82766.88,112326.48,,152758.4155,152758.4155,152758.4155,91655.0493,91655.0493,91655.0493,213861.7817,224045.676,190099.3615,257991.9906
2018.04.15   08.30,0.134,1.27,57228.01875,57228.01875,57228.01875,34336.81125,34336.81125,34336.81125,80119.22625,83934.4275,71217.09,96651.765,,284844.607,284844.607,284844.607,170906.7642,170906.7642,170906.7642,398782.4498,417772.0903,354473.2887,481070.8919
2018.04.15   09.30,0.365,0.842,48818.7,48818.7,48818.7,29291.22,29291.22,29291.22,68346.18,71600.76,60752.16,82449.36,,238805.8061,238805.8061,238805.8061,143283.4836,143283.4836,143283.4836,334328.1285,350248.5156,297180.5587,403316.4725
2018.04.15   10.30,0.371,0.913,45310.3875,45310.3875,45310.3875,27186.2325,27186.2325,27186.2325,63434.5425,66455.235,56386.26,76524.21,,253401.9258,253401.9258,253401.9258,152041.1555,152041.1555,152041.1555,354762.6962,371656.1579,315344.6188,427967.697
2018.04.15   11.30,0.399,1.579,49552.25625,49552.25625,49552.25625,29731.35375,29731.35375,29731.35375,69373.15875,72676.6425,61665.03,83688.255,,251091.7062,251091.7062,251091.7062,150655.0237,150655.0237,150655.0237,351528.3887,368267.8357,312469.6788,424065.9927
2018.04.15   12.30,0.348,1.194,59269.21875,59269.21875,59269.21875,35561.53125,35561.53125,35561.53125,82976.90625,86928.1875,73757.25,100099.125,,276690.3212,276690.3212,276690.3212,166014.1927,166014.1927,166014.1927,387366.4496,405812.471,344325.733,467299.2091
2018.04.15   13.30,0.323,1.856,67795.48125,67795.48125,67795.48125,40677.28875,40677.28875,40677.28875,94913.67375,99433.3725,84367.71,114499.035,,287002.5972,287002.5972,287002.5972,172201.5583,172201.5583,172201.5583,401803.636,420937.1425,357158.7876,484715.4975
2018.04.15   14.30,0.244,1.15,66009.43125,66009.43125,66009.43125,39605.65875,39605.65875,39605.65875,92413.20375,96813.8325,82145.07,111482.595,,314792.507,314792.507,314792.507,188875.5042,188875.5042,188875.5042,440709.5099,461695.677,391741.7865,531649.5674
2018.04.15   15.30,0.007,2.051,62192.8125,62192.8125,62192.8125,37315.6875,37315.6875,37315.6875,87069.9375,91216.125,77395.5,105036.75,,397417.7155,397417.7155,397417.7155,238450.6293,238450.6293,238450.6293,556384.8017,582879.316,494564.2682,671194.3639
2018.04.15   16.30,0,0.729,54283.1625,54283.1625,54283.1625,32569.8975,32569.8975,32569.8975,75996.4275,79615.305,67552.38,91678.23,,371494.2141,371494.2141,371494.2141,222896.5285,222896.5285,222896.5285,520091.8997,544858.1807,462303.9109,627412.4505
2018.04.15   17.30,0,1.393,41111.04375,41111.04375,41111.04375,24666.62625,24666.62625,24666.62625,57555.46125,60296.1975,51160.41,69431.985,,320695.9082,320695.9082,320695.9082,192417.5449,192417.5449,192417.5449,448974.2715,470353.9987,399088.2413,541619.756
2018.04.15   18.30,0.122,2.006,25993.40625,25993.40625,25993.40625,15596.04375,15596.04375,15596.04375,36390.76875,38123.6625,32347.35,43899.975,,193455.8527,193455.8527,193455.8527,116073.5116,116073.5116,116073.5116,270838.1938,283735.2506,240745.0611,326725.4401
2018.04.15   19.30,0.304,1.203,22070.475,22070.475,22070.475,13242.285,13242.285,13242.285,30898.665,32370.03,27465.48,37274.58,,9627.9617,9627.9617,9627.9617,5776.777,5776.777,5776.777,13479.1463,14121.0104,11981.4634,16260.5575
2018.04.15   20.30,0.25,0.75,20401.36875,20401.36875,20401.36875,12240.82125,12240.82125,12240.82125,28561.91625,29922.0075,25388.37,34455.645,,0.1047,0.1047,0.1047,0.0628,0.0628,0.0628,0.1465,0.1535,0.1302,0.1767
2018.04.15   21.30,0.016,2.135,20008.0125,20008.0125,20008.0125,12004.8075,12004.8075,12004.8075,28011.2175,29345.085,24898.86,33791.31,,0,0,0,0,0,0,1.00E-04,1.00E-04,0,1.00E-04
2018.04.15   22.30,0,0.975,22155.525,22155.525,22155.525,13293.315,13293.315,13293.315,31017.735,32494.77,27571.32,37418.22,,0,0,0,0,0,0,0,0,0,0
2018.04.15   23.30,0,1.507,31883.11875,31883.11875,31883.11875,19129.87125,19129.87125,19129.87125,44636.36625,46761.9075,39676.77,53847.045,,0,0,0,0,0,0,0,0,0,0
2018.04.16   00.30,0,0.564,50232.65625,50232.65625,50232.65625,30139.59375,30139.59375,30139.59375,70325.71875,73674.5625,62511.75,84837.375,,0,0,0,0,0,0,0,0,0,0
2018.04.16   01.30,0.277,0.924,57972.20625,57972.20625,57972.20625,34783.32375,34783.32375,34783.32375,81161.08875,85025.9025,72143.19,97908.615,,0,0,0,0,0,0,0,0,0,0
2018.04.16   02.30,0.341,1.132,61469.8875,61469.8875,61469.8875,36881.9325,36881.9325,36881.9325,86057.8425,90155.835,76495.86,103815.81,,0,0,0,0,0,0,0,0,0,0
2018.04.16   03.30,0.46,1.805,60215.4,60215.4,60215.4,36129.24,36129.24,36129.24,84301.56,88315.92,74934.72,101697.12,,0,0,0,0,0,0,0,0,0,0
2018.04.16   04.30,0.318,2.055,59045.9625,59045.9625,59045.9625,35427.5775,35427.5775,35427.5775,82664.3475,86600.745,73479.42,99722.07,,1.00E-04,1.00E-04,1.00E-04,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04
2018.04.16   05.30,0.563,2.305,63500.45625,63500.45625,63500.45625,38100.27375,38100.27375,38100.27375,88900.63875,93134.0025,79022.79,107245.215,,0.2718,0.2718,0.2718,0.1631,0.1631,0.1631,0.3805,0.3986,0.3382,0.4591
2018.04.16   06.30,0.409,2.245,67997.475,67997.475,67997.475,40798.485,40798.485,40798.485,95196.465,99729.63,84619.08,114840.18,,24064.7324,24064.7324,24064.7324,14438.8395,14438.8395,14438.8395,33690.6254,35294.9409,29947.2226,40642.6592
2018.04.16   07.30,0.576,1.922,60194.1375,60194.1375,60194.1375,36116.4825,36116.4825,36116.4825,84271.7925,88284.735,74908.26,101661.21,,102093.2324,102093.2324,102093.2324,61255.9395,61255.9395,61255.9395,142930.5254,149736.7409,127049.3559,172424.1259
2018.04.16   08.30,0.78,2.472,52847.94375,52847.94375,52847.94375,31708.76625,31708.76625,31708.76625,73987.12125,77510.3175,65766.33,89254.305,,72707.5994,72707.5994,72707.5994,43624.5597,43624.5597,43624.5597,101790.6392,106637.8125,90480.5682,122795.0568
2018.04.16   09.30,0.734,2.074,49105.74375,49105.74375,49105.74375,29463.44625,29463.44625,29463.44625,68748.04125,72021.7575,61109.37,82934.145,,100289.5201,100289.5201,100289.5201,60173.712,60173.712,60173.712,140405.3281,147091.2961,124804.7361,169377.8561
2018.04.16   10.30,0.511,1.005,49775.5125,49775.5125,49775.5125,29865.3075,29865.3075,29865.3075,69685.7175,73004.085,61942.86,84065.31,,197329.2545,197329.2545,197329.2545,118397.5527,118397.5527,118397.5527,276260.9563,289416.2399,245565.2945,333267.1853
2018.04.16   11.30,0.585,2.543,55729.0125,55729.0125,55729.0125,33437.4075,33437.4075,33437.4075,78020.6175,81735.885,69351.66,94120.11,,173600.8472,173600.8472,173600.8472,104160.5083,104160.5083,104160.5083,243041.1861,254614.5759,216036.6099,293192.542
2018.04.16   12.30,0.55,1.595,65733.01875,65733.01875,65733.01875,39439.81125,39439.81125,39439.81125,92026.22625,96408.4275,81801.09,111015.765,,191170.7606,191170.7606,191170.7606,114702.4564,114702.4564,114702.4564,267639.0649,280383.7822,237901.391,322866.1735
2018.04.16   13.30,0.306,2.893,72037.35,72037.35,72037.35,43222.41,43222.41,43222.41,100852.29,105654.78,89646.48,121663.08,,294506.4578,294506.4578,294506.4578,176703.8747,176703.8747,176703.8747,412309.041,431942.8048,366496.9253,497388.6843
2018.04.16   14.30,0.403,3.205,68688.50625,68688.50625,68688.50625,41213.10375,41213.10375,41213.10375,96163.90875,100743.1425,85479.03,116007.255,,248853.8687,248853.8687,248853.8687,149312.3212,149312.3212,149312.3212,348395.4161,364985.674,309684.8143,420286.5337
2018.04.16   15.30,0.514,1,64999.4625,64999.4625,64999.4625,38999.6775,38999.6775,38999.6775,90999.2475,95332.545,80888.22,109776.87,,194763.0159,194763.0159,194763.0159,116857.8095,116857.8095,116857.8095,272668.2222,285652.4233,242371.7531,328933.0935
2018.04.16   16.30,0.581,2.256,55590.80625,55590.80625,55590.80625,33354.48375,33354.48375,33354.48375,77827.12875,81533.1825,69179.67,93886.695,,155955.0119,155955.0119,155955.0119,93573.0071,93573.0071,93573.0071,218337.0167,228734.0175,194077.3481,263390.6868
2018.04.16   17.30,0.663,0.711,38995.425,38995.425,38995.425,23397.255,23397.255,23397.255,54593.595,57193.29,48527.64,65858.94,,108463.9348,108463.9348,108463.9348,65078.3609,65078.3609,65078.3609,151849.5087,159080.4377,134977.3411,183183.5343
2018.04.16   18.30,0.706,2.313,25993.40625,25993.40625,25993.40625,15596.04375,15596.04375,15596.04375,36390.76875,38123.6625,32347.35,43899.975,,65497.028,65497.028,65497.028,39298.2168,39298.2168,39298.2168,91695.8391,96062.3077,81507.4126,110617.2028
2018.04.16   19.30,0.729,1.898,22070.475,22070.475,22070.475,13242.285,13242.285,13242.285,30898.665,32370.03,27465.48,37274.58,,4404.4481,4404.4481,4404.4481,2642.6689,2642.6689,2642.6689,6166.2274,6459.8572,5481.091,7438.6235
2018.04.16   20.30,0.843,1.784,20401.36875,20401.36875,20401.36875,12240.82125,12240.82125,12240.82125,28561.91625,29922.0075,25388.37,34455.645,,0.027,0.027,0.027,0.0162,0.0162,0.0162,0.0377,0.0395,0.0335,0.0455
2018.04.16   21.30,0.606,1.415,20008.0125,20008.0125,20008.0125,12004.8075,12004.8075,12004.8075,28011.2175,29345.085,24898.86,33791.31,,0,0,0,0,0,0,0,0,0,0
2018.04.16   22.30,0.457,2.009,22155.525,22155.525,22155.525,13293.315,13293.315,13293.315,31017.735,32494.77,27571.32,37418.22,,0,0,0,0,0,0,0,0,0,0
2018.04.16   23.30,0.655,1.229,31883.11875,31883.11875,31883.11875,19129.87125,19129.87125,19129.87125,44636.36625,46761.9075,39676.77,53847.045,,0,0,0,0,0,0,0,0,0,0
2018.04.17   00.30,0.429,2.525,50232.65625,50232.65625,50232.65625,30139.59375,30139.59375,30139.59375,70325.71875,73674.5625,62511.75,84837.375,,0,0,0,0,0,0,0,0,0,0
2018.04.17   01.30,0.406,1.512,57972.20625,57972.20625,57972.20625,34783.32375,34783.32375,34783.32375,81161.08875,85025.9025,72143.19,97908.615,,0,0,0,0,0,0,0,0,0,0
2018.04.17   02.30,0.569,2.632,61469.8875,61469.8875,61469.8875,36881.9325,36881.9325,36881.9325,86057.8425,90155.835,76495.86,103815.81,,0,0,0,0,0,0,0,0,0,0
2018.04.17   03.30,0.512,1.688,60215.4,60215.4,60215.4,36129.24,36129.24,36129.24,84301.56,88315.92,74934.72,101697.12,,0,0,0,0,0,0,0,0,0,0
2018.04.17   04.30,0.478,1.909,59045.9625,59045.9625,59045.9625,35427.5775,35427.5775,35427.5775,82664.3475,86600.745,73479.42,99722.07,,1.00E-04,1.00E-04,1.00E-04,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04
2018.04.17   05.30,0.501,2.188,63500.45625,63500.45625,63500.45625,38100.27375,38100.27375,38100.27375,88900.63875,93134.0025,79022.79,107245.215,,0.417,0.417,0.417,0.2502,0.2502,0.2502,0.5837,0.6115,0.5189,0.7042
2018.04.17   06.30,0.656,1.85,67997.475,67997.475,67997.475,40798.485,40798.485,40798.485,95196.465,99729.63,84619.08,114840.18,,16040.6431,16040.6431,16040.6431,9624.3858,9624.3858,9624.3858,22456.9003,23526.2765,19961.6891,27090.8638
2018.04.17   07.30,0.74,0.761,60194.1375,60194.1375,60194.1375,36116.4825,36116.4825,36116.4825,84271.7925,88284.735,74908.26,101661.21,,63412.9341,63412.9341,63412.9341,38047.7604,38047.7604,38047.7604,88778.1077,93005.6366,78913.8735,107097.3998
2018.04.17   08.30,0.928,1.747,52847.94375,52847.94375,52847.94375,31708.76625,31708.76625,31708.76625,73987.12125,77510.3175,65766.33,89254.305,,23905.0925,23905.0925,23905.0925,14343.0555,14343.0555,14343.0555,33467.1294,35060.8023,29748.5595,40373.045
2018.04.17   09.30,0.877,1.646,49105.74375,49105.74375,49105.74375,29463.44625,29463.44625,29463.44625,68748.04125,72021.7575,61109.37,82934.145,,46489.0883,46489.0883,46489.0883,27893.453,27893.453,27893.453,65084.7236,68183.9962,57853.0877,78514.9047
2018.04.17   10.30,1,0.887,49775.5125,49775.5125,49775.5125,29865.3075,29865.3075,29865.3075,69685.7175,73004.085,61942.86,84065.31,,0,0,0,0,0,0,0,0,0,0
2018.04.17   11.30,0.957,1.39,55729.0125,55729.0125,55729.0125,33437.4075,33437.4075,33437.4075,78020.6175,81735.885,69351.66,94120.11,,18009.6031,18009.6031,18009.6031,10805.7619,10805.7619,10805.7619,25213.4443,26414.0845,22411.9505,30416.2186
2018.04.17   12.30,0.757,2.052,65733.01875,65733.01875,65733.01875,39439.81125,39439.81125,39439.81125,92026.22625,96408.4275,81801.09,111015.765,,103339.5025,103339.5025,103339.5025,62003.7015,62003.7015,62003.7015,144675.3036,151564.6037,128600.2698,174528.9376
2018.04.17   13.30,0.738,0.723,72037.35,72037.35,72037.35,43222.41,43222.41,43222.41,100852.29,105654.78,89646.48,121663.08,,111292.1277,111292.1277,111292.1277,66775.2766,66775.2766,66775.2766,155808.9788,163228.454,138496.87,187960.0379
2018.04.17   14.30,0.649,2.189,68688.50625,68688.50625,68688.50625,41213.10375,41213.10375,41213.10375,96163.90875,100743.1425,85479.03,116007.255,,146465.1263,146465.1263,146465.1263,87879.0758,87879.0758,87879.0758,205051.1768,214815.5185,182267.7127,247363.3243
2018.04.17   15.30,0.634,0.854,64999.4625,64999.4625,64999.4625,38999.6775,38999.6775,38999.6775,90999.2475,95332.545,80888.22,109776.87,,146862.7612,146862.7612,146862.7612,88117.6567,88117.6567,88117.6567,205607.8657,215398.7164,182762.5473,248034.8856
2018.04.17   16.30,0.494,1.351,55590.80625,55590.80625,55590.80625,33354.48375,33354.48375,33354.48375,77827.12875,81533.1825,69179.67,93886.695,,188691.6434,188691.6434,188691.6434,113214.986,113214.986,113214.986,264168.3007,276747.7436,234816.2673,318679.2199
2018.04.17   17.30,0.404,2.485,38995.425,38995.425,38995.425,23397.255,23397.255,23397.255,54593.595,57193.29,48527.64,65858.94,,192500.1592,192500.1592,192500.1592,115500.0955,115500.0955,115500.0955,269500.2228,282333.5668,239555.7536,325111.3799
2018.04.17   18.30,0.534,3.009,25993.40625,25993.40625,25993.40625,15596.04375,15596.04375,15596.04375,36390.76875,38123.6625,32347.35,43899.975,,104930.5164,104930.5164,104930.5164,62958.3099,62958.3099,62958.3099,146902.723,153898.0908,130580.1982,177215.9833
2018.04.17   19.30,0.701,1.921,22070.475,22070.475,22070.475,13242.285,13242.285,13242.285,30898.665,32370.03,27465.48,37274.58,,5657.5212,5657.5212,5657.5212,3394.5127,3394.5127,3394.5127,7920.5297,8297.6978,7040.4708,9554.9247
2018.04.17   20.30,0.476,2.516,20401.36875,20401.36875,20401.36875,12240.82125,12240.82125,12240.82125,28561.91625,29922.0075,25388.37,34455.645,,0.1107,0.1107,0.1107,0.0664,0.0664,0.0664,0.155,0.1624,0.1378,0.187
2018.04.17   21.30,0.494,1.787,20008.0125,20008.0125,20008.0125,12004.8075,12004.8075,12004.8075,28011.2175,29345.085,24898.86,33791.31,,0,0,0,0,0,0,0,0,0,0
2018.04.17   22.30,0.428,0.979,22155.525,22155.525,22155.525,13293.315,13293.315,13293.315,31017.735,32494.77,27571.32,37418.22,,0,0,0,0,0,0,0,0,0,0
2018.04.17   23.30,0.521,2.762,31883.11875,31883.11875,31883.11875,19129.87125,19129.87125,19129.87125,44636.36625,46761.9075,39676.77,53847.045,,0,0,0,0,0,0,0,0,0,0
2018.04.18   00.30,0.595,1.272,50232.65625,50232.65625,50232.65625,30139.59375,30139.59375,30139.59375,70325.71875,73674.5625,62511.75,84837.375,,0,0,0,0,0,0,0,0,0,0
2018.04.18   01.30,0.372,3.081,57972.20625,57972.20625,57972.20625,34783.32375,34783.32375,34783.32375,81161.08875,85025.9025,72143.19,97908.615,,0,0,0,0,0,0,0,0,0,0
2018.04.18   02.30,0.505,1.83,61469.8875,61469.8875,61469.8875,36881.9325,36881.9325,36881.9325,86057.8425,90155.835,76495.86,103815.81,,0,0,0,0,0,0,0,0,0,0
2018.04.18   03.30,0.659,1.822,60215.4,60215.4,60215.4,36129.24,36129.24,36129.24,84301.56,88315.92,74934.72,101697.12,,0,0,0,0,0,0,0,0,0,0
2018.04.18   04.30,0.608,1.062,59045.9625,59045.9625,59045.9625,35427.5775,35427.5775,35427.5775,82664.3475,86600.745,73479.42,99722.07,,1.00E-04,1.00E-04,1.00E-04,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04
2018.04.18   05.30,0.58,1.398,63500.45625,63500.45625,63500.45625,38100.27375,38100.27375,38100.27375,88900.63875,93134.0025,79022.79,107245.215,,0.4713,0.4713,0.4713,0.2828,0.2828,0.2828,0.6597,0.6912,0.5864,0.7959
